Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
93.00,89.00,139.00,130.00,140.00
90.00,81.00,98.00,128.00,98.00
101.00,109.00,122.00,77.00,98.00
115.00,104.00,133.00,82.00,107.00
58.00,139.00,123.00,119.00,139.00
109.00,118.00,132.00,104.00,125.00
94.00,84.00,97.00,129.00,74.00
118.00,104.00,135.00,109.00,51.00
67.00,107.00,135.00,111.00,125.00
115.00,76.00,132.00,86.00,114.00
102.00,112.00,142.00,140.00,117.00
93.00,128.00,141.00,140.00,137.00
112.00,117.00,128.00,119.00,81.00
66.00,111.00,127.00,126.00,157.00
56.00,61.00,143.00,116.00,117.00
62.00,104.00,144.00,109.00,128.00
99.00,86.00,107.00,101.00,118.00
104.00,88.00,108.00,122.00,92.00
78.00,97.00,128.00,124.00,95.00
131.00,71.00,122.00,101.00,78.00
135.00,92.00,128.00,95.00,74.00
66.00,81.00,112.00,138.00,108.00
153.00,43.00,148.00,112.00,83.00
96.00,104.00,151.00,145.00,111.00
97.00,133.00,107.00,113.00,145.00
51.00,147.00,153.00,136.00,164.00
128.00,72.00,147.00,100.00,67.00
62.00,122.00,157.00,125.00,155.00
73.00,98.00,137.00,144.00,87.00
93.00,130.00,162.00,133.00,127.00
88.00,103.00,135.00,133.00,107.00
97.00,80.00,90.00,122.00,77.00
123.00,82.00,94.00,115.00,90.00
80.00,86.00,101.00,112.00,134.00
134.00,93.00,138.00,110.00,99.00
102.00,120.00,97.00,153.00,143.00
90.00,120.00,157.00,127.00,124.00
62.00,109.00,127.00,109.00,119.00
98.00,96.00,106.00,113.00,89.00
93.00,110.00,143.00,105.00,131.00
80.00,76.00,128.00,115.00,134.00
146.00,88.00,102.00,158.00,91.00
73.00,83.00,116.00,131.00,129.00
88.00,128.00,136.00,122.00,130.00
60.00,170.00,132.00,114.00,179.00
70.00,134.00,134.00,141.00,118.00
128.00,102.00,109.00,133.00,88.00
114.00,143.00,138.00,117.00,141.00
116.00,71.00,137.00,100.00,106.00
118.00,87.00,155.00,132.00,110.00
119.00,40.00,110.00,92.00,106.00
99.00,81.00,125.00,139.00,83.00
106.00,114.00,159.00,113.00,47.00
104.00,75.00,124.00,122.00,49.00
78.00,129.00,137.00,110.00,171.00
80.00,106.00,138.00,125.00,114.00
106.00,108.00,82.00,135.00,117.00
148.00,61.00,126.00,89.00,77.00
113.00,99.00,147.00,127.00,109.00
113.00,71.00,120.00,130.00,95.00
131.00,83.00,130.00,107.00,109.00
78.00,84.00,130.00,135.00,99.00
105.00,77.00,109.00,142.00,110.00
89.00,91.00,130.00,127.00,104.00
84.00,73.00,157.00,132.00,112.00
124,59,109,122,86
116,121,126,120,115
109,102,147,110,114
113,86,120,102,91
103,135,155,111,109
75,85,104,129,114
118,79,138,102,88
72,91,117,148,110
101,87,131,109,101
115,86,105,149,128
108,50,141,123,102
113,108,158,103,70
96,75,115,116,139
123,74,149,145,81
146,111,122,110,129
144,79,135,92,81
100,124,141,127,133
95,121,170,140,127
102,58,122,131,89
31,108,125,172,145
70,110,151,113,166
166,105,149,115,102
67,109,115,126,73
73,114,161,118,97
65,113,139,119,110
82,86,139,128,93
107,95,142,97,80
46,133,144,146,149
94,88,112,108,107
144,124,173,135,114
115,61,142,154,121
103,113,163,111,100
149,77,156,126,81
89,99,99,142,93
86,125,142,98,126
43,93,138,147,103
110,100,149,105,96
86,114,128,111,110
75,115,135,146,113
128,62,138,103,65
159,83,148,79,87
96,140,140,100,133
106,100,154,116,122
80,97,161,101,157
108,75,131,112,88
106,96,118,120,129
112,96,144,112,104
76,85,90,146,107
124,141,145,88,97
84,86,103,139,99
159,78,95,96,58
105,84,146,136,143
91,102,156,119,117
113,105,126,129,124
113,107,137,118,88
101,106,139,132,154
63,172,132,146,135
99,133,105,146,121
100,93,123,125,124
135,64,105,134,117
132,108,134,120,106
113,56,114,98,56
118,72,112,83,61
80,92,103,116,77
144,132,150,104,126
53,142,102,173,132
97,99,132,121,113
114,100,133,98,100
106,129,85,107,117
82,144,160,102,153
150,86,120,116,128
86,117,158,112,135
88,111,142,138,129
95,84,133,140,84
99,88,150,129,92
82,92,122,97,75
113,144,95,115,143
94,104,141,126,113
69,119,126,130,135
111,125,168,124,122
98,97,124,104,108
111,135,114,113,118
99,86,126,146,140
163,91,143,98,73
101,91,137,96,82
131,91,166,100,98
30,148,116,155,163
129,81,90,115,125
135,94,92,120,111
97,107,134,135,145
151,88,132,104,78
118,112,141,121,134
51,99,126,117,135
76,112,119,104,116
76,114,124,129,144
78,124,133,118,136
99,78,148,119,105
122,96,113,121,128
144,72,109,114,85
99,64,86,106,112
38,112,121,144,122
138,103,141,97,73
71,81,137,143,97
90,95,139,134,93
87,95,95,106,145
132,94,145,136,100
129,106,122,109,107
119,90,145,110,158
122,91,118,144,106
106,122,147,113,94
70,139,129,149,158
48,142,151,163,173
53,124,131,164,147
89,96,117,152,143
83,96,145,125,137
99,98,144,132,131
135,115,129,137,135
108,74,138,127,115
85,102,117,126,112
92,141,127,133,141
149,63,142,107,95
81,103,105,123,52
124,95,135,99,119
135,75,100,129,80
144,106,149,102,92
99,84,154,134,97
73,108,126,142,142
68,87,122,140,121
68,115,124,107,172
103,110,123,103,126
144,109,141,103,34
70,114,138,136,114
112,62,100,112,80
110,131,151,92,128
88,80,96,130,93
56,122,113,146,131
79,79,126,129,126
82,122,90,143,158
103,119,137,122,114
110,101,147,157,139
82,95,139,117,127
126,104,148,102,129
77,150,158,149,141
65,126,125,129,166
76,107,150,168,115
108,78,124,109,101
119,76,121,106,113
113,155,131,87,157
149,97,120,93,107
98,112,107,125,98
139,101,158,125,117
119,80,153,134,115
74,96,116,127,113
109,98,118,124,118
97,102,159,139,91
126,144,128,113,181
125,98,119,135,65
107,85,120,121,118
67,82,104,155,98
67,120,94,149,125
123,85,131,116,73
91,86,112,120,136
62,106,136,157,112
88,79,119,126,92
105,101,176,120,115
157,134,136,105,91
91,100,122,120,172
131,64,99,114,8
30,118,115,170,164
71,106,130,121,127
117,121,143,85,114
70,94,96,106,105
81,118,153,117,143
101,110,160,98,122
100,108,119,140,128
103,101,137,122,122
113,135,123,129,101
136,82,152,107,86
90,145,117,147,142
127,69,121,106,91
119,98,128,152,110
131,77,170,113,125
47,112,120,176,130
102,108,132,102,92
116,75,146,93,77
82,109,143,155,90
108,67,100,111,70
85,116,114,120,124
139,97,126,116,64
67,126,130,154,115
66,71,106,134,100
97,87,135,115,130
140,99,139,57,98
60,70,113,149,103
92,89,124,132,99
104,90,111,121,80
127,76,135,123,96
96,77,110,123,123
141,99,136,92,84
92,91,129,129,110
161,95,122,90,65
49,97,136,159,142
114,108,134,112,103
106,92,130,139,126
167,113,129,68,103
151,88,148,90,111
170,79,111,76,53
98,108,107,130,100
92,104,141,109,95
83,109,107,142,66
128,113,108,125,119
100,114,100,119,152
76,78,103,118,125
101,101,116,108,152
106,109,168,117,124
132,67,109,123,100
139,98,122,89,122
61,87,144,145,155
83,99,139,146,143
61,103,122,118,106
116,53,118,112,35
82,96,107,120,118
107,97,114,126,141
68,112,103,131,110
127,80,137,115,115
81,60,131,159,121
143,51,122,120,76
111,120,139,98,112
65,103,97,134,107
71,124,143,121,143
81,117,121,114,127
93,111,109,118,148
92,163,146,132,115
90,71,104,154,70
34,94,105,167,158
